precinct,Month,ComplainCount,ArrestCount,Borough
106.0,1,109,245,QUEENS
106.0,2,106,250,QUEENS
106.0,3,143,261,QUEENS
106.0,4,240,206,QUEENS
106.0,5,507,288,QUEENS
106.0,6,490,187,QUEENS
106.0,7,636,192,QUEENS
106.0,8,483,212,QUEENS
106.0,9,579,176,QUEENS
106.0,10,235,218,QUEENS
106.0,11,137,201,QUEENS
106.0,12,171,237,QUEENS
107.0,1,107,179,QUEENS
107.0,2,80,187,QUEENS
107.0,3,136,188,QUEENS
107.0,4,129,215,QUEENS
107.0,5,178,172,QUEENS
107.0,6,200,188,QUEENS
107.0,7,147,153,QUEENS
107.0,8,119,184,QUEENS
107.0,9,202,179,QUEENS
107.0,10,188,176,QUEENS
107.0,11,160,157,QUEENS
107.0,12,152,187,QUEENS
108.0,1,119,158,QUEENS
108.0,2,91,119,QUEENS
108.0,3,119,132,QUEENS
108.0,4,202,143,QUEENS
108.0,5,234,182,QUEENS
108.0,6,257,139,QUEENS
108.0,7,173,120,QUEENS
108.0,8,126,139,QUEENS
108.0,9,225,110,QUEENS
108.0,10,247,132,QUEENS
108.0,11,146,140,QUEENS
108.0,12,134,142,QUEENS
109.0,1,66,248,QUEENS
109.0,2,61,216,QUEENS
109.0,3,92,240,QUEENS
109.0,4,142,227,QUEENS
109.0,5,316,264,QUEENS
109.0,6,307,249,QUEENS
109.0,7,181,286,QUEENS
109.0,8,188,266,QUEENS
109.0,9,367,265,QUEENS
109.0,10,191,327,QUEENS
109.0,11,122,306,QUEENS
109.0,12,120,310,QUEENS
110.0,1,140,322,QUEENS
110.0,2,117,281,QUEENS
110.0,3,152,355,QUEENS
110.0,4,173,310,QUEENS
110.0,5,418,379,QUEENS
110.0,6,344,305,QUEENS
110.0,7,356,285,QUEENS
110.0,8,213,305,QUEENS
110.0,9,336,278,QUEENS
110.0,10,287,315,QUEENS
110.0,11,121,265,QUEENS
110.0,12,117,242,QUEENS
111.0,1,31,111,QUEENS
111.0,2,23,78,QUEENS
111.0,3,25,106,QUEENS
111.0,4,47,106,QUEENS
111.0,5,88,99,QUEENS
111.0,6,85,96,QUEENS
111.0,7,63,78,QUEENS
111.0,8,31,131,QUEENS
111.0,9,77,99,QUEENS
111.0,10,55,102,QUEENS
111.0,11,35,85,QUEENS
111.0,12,34,110,QUEENS
112.0,1,75,119,QUEENS
112.0,2,56,116,QUEENS
112.0,3,56,143,QUEENS
112.0,4,66,120,QUEENS
