Location Type,precinct,Month,ComplainCount
Club/Bar/Restaurant,90.0,11,50
Club/Bar/Restaurant,90.0,12,60
Club/Bar/Restaurant,94.0,1,15
Club/Bar/Restaurant,94.0,2,12
Club/Bar/Restaurant,94.0,3,17
Club/Bar/Restaurant,94.0,4,15
Club/Bar/Restaurant,94.0,5,80
Club/Bar/Restaurant,94.0,6,55
Club/Bar/Restaurant,94.0,7,25
Club/Bar/Restaurant,94.0,8,43
Club/Bar/Restaurant,94.0,9,71
Club/Bar/Restaurant,94.0,10,64
Club/Bar/Restaurant,94.0,11,27
Club/Bar/Restaurant,94.0,12,25
Club/Bar/Restaurant,100.0,1,3
Club/Bar/Restaurant,100.0,3,4
Club/Bar/Restaurant,100.0,4,5
Club/Bar/Restaurant,100.0,5,23
Club/Bar/Restaurant,100.0,6,42
Club/Bar/Restaurant,100.0,7,21
Club/Bar/Restaurant,100.0,8,12
Club/Bar/Restaurant,100.0,9,18
Club/Bar/Restaurant,100.0,10,23
Club/Bar/Restaurant,100.0,11,12
Club/Bar/Restaurant,100.0,12,7
